Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
7/19/2017,LT,EQ,1177.9,1184,1187,1170.1,1181.4,1181.3,1181.27,1827242,2.15847E+14,43837,1188678,0.6505
7/20/2017,LT,EQ,1181.3,1182,1194.45,1176,1188,1185.65,1186.58,1845852,2.19026E+14,50547,1037576,0.5621
7/21/2017,LT,EQ,1185.65,1190,1190,1170.2,1177,1179.25,1180.8,1912305,2.25805E+14,58690,1329440,0.6952
7/24/2017,LT,EQ,1179.25,1177,1182.65,1171.1,1182,1178,1175.93,1313657,1.54476E+14,39695,940413,0.7159
7/25/2017,LT,EQ,1178,1178,1179.95,1165.5,1169.9,1170.85,1170.08,2182162,2.55331E+14,72688,1631457,0.7476
7/26/2017,LT,EQ,1170.85,1169.9,1184,1166,1182.25,1180.25,1175.93,1161591,1.36596E+14,49318,779188,0.6708
7/27/2017,LT,EQ,1180.25,1180.8,1194.9,1173,1180.65,1182.05,1182.19,3881208,4.58834E+14,71926,2821426,0.7269
7/28/2017,LT,EQ,1182.05,1184,1190.4,1153.5,1158.45,1161.4,1165.84,3278658,3.82239E+14,81009,1485123,0.453
7/31/2017,LT,EQ,1161.4,1193.7,1207.5,1180.1,1193.2,1193.95,1194.86,5000536,5.97492E+14,106235,1626737,0.3253
8/1/2017,LT,EQ,1193.95,1198.25,1198.25,1171.7,1186.7,1190.05,1183.02,2721660,3.21977E+14,58352,1586459,0.5829
8/2/2017,LT,EQ,1190.05,1191,1191.85,1172.5,1175.05,1176.8,1179.21,2154488,2.5406E+14,70379,1274446,0.5915
8/3/2017,LT,EQ,1176.8,1179.9,1184.65,1167.65,1173,1174.75,1175.15,1426006,1.67578E+14,49170,650227,0.456
8/4/2017,LT,EQ,1174.75,1174,1181.95,1169.7,1176.7,1175.85,1174.73,1082867,1.27208E+14,27840,557756,0.5151
8/7/2017,LT,EQ,1175.85,1176.7,1184.6,1172,1180.2,1179.95,1178.3,1035670,1.22033E+14,42771,567077,0.5475
8/8/2017,LT,EQ,1179.95,1180,1186,1164,1168.4,1171.2,1172.33,1531255,1.79514E+14,38432,905325,0.5912
8/9/2017,LT,EQ,1171.2,1171,1171,1148,1153,1153.9,1161.47,1439328,1.67174E+14,38916,911983,0.6336
8/10/2017,LT,EQ,1153.9,1151,1166.9,1140,1166,1157.7,1150.05,1713614,1.97074E+14,66896,929913,0.5427
8/11/2017,LT,EQ,1157.7,1138,1144.05,1125.2,1134,1131.95,1134.09,2001103,2.26942E+14,69575,1099968,0.5497
8/14/2017,LT,EQ,1131.95,1143.25,1153,1119,1145.1,1146.9,1135.7,1866838,2.12018E+14,55517,954102,0.5111
8/16/2017,LT,EQ,1146.9,1149,1152.4,1123.25,1141.5,1142.25,1137.5,2143899,2.43869E+14,63664,1275793,0.5951
8/17/2017,LT,EQ,1142.25,1145,1157,1131.05,1134.8,1134,1143.52,1508949,1.72551E+14,44728,577784,0.3829
8/18/2017,LT,EQ,1134,1124,1137.65,1123,1131.5,1130.6,1130.77,1230709,1.39164E+14,39230,703673,0.5718
8/21/2017,LT,EQ,1130.6,1133.45,1140,1124.6,1126,1127.1,1132.23,1651344,1.8697E+14,37280,1152140,0.6977
8/22/2017,LT,EQ,1127.1,1132,1135,1113.05,1120.75,1117.7,1126.69,1361351,1.53382E+14,42515,734445,0.5395
